受賞作,著者,賞タイトル,著者__受賞・最終候補作,ISBN10,calil,ImageURL
蒼ざめた馬を見よ,五木寛之,直木賞,五木寛之__蒼ざめた馬を見よ,4163033807,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蒼天の鳥たち,三上幸四郎,江戸川乱歩賞,三上幸四郎__蒼天の鳥たち（蒼天の鳥）,4065289211,https://calil.jp/book/4065289211,https://images-na.ssl-images-amazon.com/images/P/4065289211.09.LZZZZZZZ
蒼氓,石川達三,芥川賞,石川達三__蒼氓,4101015058,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蔭の棲みか,玄月,芥川賞,玄月__蔭の棲みか,4163190201,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蔭桔梗,泡坂妻夫,直木賞,泡坂妻夫__蔭桔梗,4103472030,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
虜愁記,千葉治平,直木賞,千葉治平__虜愁記,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
虹,藤井重夫,直木賞,藤井重夫__虹,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
虹の谷の五月,船戸与一,直木賞,船戸与一__虹の谷の五月,4087475727,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蛇にピアス,金原ひとみ,芥川賞,金原ひとみ__蛇にピアス,4087460487,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蛇を踏む,川上弘美,芥川賞,川上弘美__蛇を踏む,4167631016,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蜜蜂と遠雷,恩田陸,本屋大賞 | 直木賞,恩田陸__蜜蜂と遠雷,4344845188,https://calil.jp/book/4344030036,https://images-na.ssl-images-amazon.com/images/P/4344030036.09.LZZZZZZZ
蜩ノ記(ひぐらしのき),葉室麟,直木賞,葉室麟__蜩ノ記(ひぐらしのき),4396633734,https://calil.jp/book/4396338902,https://images-na.ssl-images-amazon.com/images/P/4396338902.09.LZZZZZZZ
蝶たちは今…,日下圭介,江戸川乱歩賞,日下圭介__蝶たちは今…,4061361082,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
螢の河,伊藤桂一,直木賞,伊藤桂一__螢の河,4769829892,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
螢川,宮本輝,芥川賞,宮本輝__螢川,4480020330,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蟹,河野多惠子,芥川賞,河野多惠子__蟹,4093522987,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蟻の木の下で,西東登,江戸川乱歩賞,西東登__蟻の木の下で,4061360434,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
血と骨,梁石日,山本周五郎賞,梁石日__血と骨,4877282106,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
表層生活,大岡玲,芥川賞,大岡玲__表層生活,4163117105,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
裸の王様,開高健,芥川賞,開高健__裸の王様,4041242223,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
襲名犯,竹吉優輔,江戸川乱歩賞,竹吉優輔__襲名犯,4062185091,https://calil.jp/book/4062185091,https://images-na.ssl-images-amazon.com/images/P/4062185091.09.LZZZZZZZ
覘き小平次,京極夏彦,山本周五郎賞,京極夏彦__覘き小平次,4120033082,https://calil.jp/book/4122056659,https://images-na.ssl-images-amazon.com/images/P/4122056659.09.LZZZZZZZ
訣別の森,末浦広海,江戸川乱歩賞,末浦広海__訣別の森,4062770458,https://calil.jp/book/4062149079,https://images-na.ssl-images-amazon.com/images/P/4062149079.09.LZZZZZZZ
誘拐児,翔田寛,江戸川乱歩賞,翔田寛__誘拐児,4062149184,https://calil.jp/book/4062149184,https://images-na.ssl-images-amazon.com/images/P/4062149184.09.LZZZZZZZ
誰かが触った,宮原昭夫,芥川賞,宮原昭夫__誰かが触った,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
謎解きはディナーのあとで,東川篤哉,本屋大賞,東川篤哉__謎解きはディナーのあとで,4093867356,https://calil.jp/book/409386280X,https://images-na.ssl-images-amazon.com/images/P/409386280X.09.LZZZZZZZ
豚の報い,又吉栄喜,芥川賞,又吉栄喜__豚の報い,416761801X ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
貝に続く場所にて,石沢麻依,芥川賞,石沢麻依__貝に続く場所にて,406524188X,https://calil.jp/book/406524188X,https://images-na.ssl-images-amazon.com/images/P/406524188X.09.LZZZZZZZ
赤い雪,榛葉英治,直木賞,榛葉英治__赤い雪,491062175X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
赤目四十八瀧心中未遂,車谷長吉,直木賞,車谷長吉__赤目四十八瀧心中未遂,4167654016,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
赤頭巾ちゃん気をつけて,庄司薫,芥川賞,庄司薫__赤頭巾ちゃん気をつけて,4125500541,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
蹴りたい背中,綿矢りさ,芥川賞,綿矢りさ__蹴りたい背中,4309015700,https://calil.jp/book/4309015700,https://images-na.ssl-images-amazon.com/images/P/4309015700.09.LZZZZZZZ
軍事郵便,河内仙介,直木賞,河内仙介__軍事郵便,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
軍旗はためく下に,結城昌治,直木賞,結城昌治__軍旗はためく下に,4061313061,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
追いつめる,生島治郎,直木賞,生島治郎__追いつめる,4122000815,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
