年,賞タイトル,賞,受賞・最終候補作,著者,出版,著者__受賞・最終候補作,key,追加日時,発表日,並べ順日付,ISBN10,複数受賞,calil,ImageURL,賞タイプ
2024,直木賞,172回（2024年下半期）候補,虚の伽藍,月村了衛 ,,月村了衛 __虚の伽藍,2024_直木賞_172回（2024年下半期）候補_虚の伽藍_月村了衛 ,2024/12/12 8:39:15,,2024/12/12,4103395338,1,https://calil.jp/book/4103395338,https://images-na.ssl-images-amazon.com/images/P/4103395338.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内01,地雷グリコ,青崎有吾,,青崎有吾__地雷グリコ,2025_このミステリーがすごい!_国内01_地雷グリコ_青崎有吾,2024/12/09 17:18:38,2024/12/09,2024/12/09,404111165X,8,https://calil.jp/book/404111165X,https://images-na.ssl-images-amazon.com/images/P/404111165X.09.LZZZZZZZ,1大賞!
2025,このミステリーがすごい!,海外01,両京十五日,馬伯庸,,馬伯庸__両京十五日,2025_このミステリーがすごい!_海外01_両京十五日_馬伯庸,2024/12/09 17:18:38,2024/12/09,2024/12/09,4150020000,3,https://calil.jp/book/4150020000,https://images-na.ssl-images-amazon.com/images/P/4150020000.09.LZZZZZZZ,1大賞!
2025,このミステリーがすごい!,国内02,冬期限定ボンボンショコラ事件,米澤穂信,,米澤穂信__冬期限定ボンボンショコラ事件,2025_このミステリーがすごい!_国内02_冬期限定ボンボンショコラ事件_米澤穂信,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488451128,4,https://calil.jp/book/4488451128,https://images-na.ssl-images-amazon.com/images/P/4488451128.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内03,檜垣澤家の炎上,永嶋恵美,,永嶋恵美__檜垣澤家の炎上,2025_このミステリーがすごい!_国内03_檜垣澤家の炎上_永嶋恵美,2024/12/09 17:18:38,2024/12/09,2024/12/09,4101054517,3,https://calil.jp/book/4101054517,https://images-na.ssl-images-amazon.com/images/P/4101054517.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内04,少女には向かない完全犯罪,方丈貴恵,,方丈貴恵__少女には向かない完全犯罪,2025_このミステリーがすごい!_国内04_少女には向かない完全犯罪_方丈貴恵,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065367107,4,https://calil.jp/book/4065367107,https://images-na.ssl-images-amazon.com/images/P/4065367107.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内05,伯爵と三つの棺,潮谷験,,潮谷験__伯爵と三つの棺,2025_このミステリーがすごい!_国内05_伯爵と三つの棺_潮谷験,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065361753,3,https://calil.jp/book/4065361753,https://images-na.ssl-images-amazon.com/images/P/4065361753.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内06,日本扇の謎,有栖川有栖,,有栖川有栖__日本扇の謎,2025_このミステリーがすごい!_国内06_日本扇の謎_有栖川有栖,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065364213,2,https://calil.jp/book/4065364213,https://images-na.ssl-images-amazon.com/images/P/4065364213.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内07,法廷占拠 爆弾2,呉勝浩,,呉勝浩__法廷占拠 爆弾2,2025_このミステリーがすごい!_国内07_法廷占拠 爆弾2_呉勝浩,2024/12/09 17:18:38,2024/12/09,2024/12/09,4065363047,2,https://calil.jp/book/4065363047,https://images-na.ssl-images-amazon.com/images/P/4065363047.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内08,バーニング・ダンサー,阿津川辰海,,阿津川辰海__バーニング・ダンサー,2025_このミステリーがすごい!_国内08_バーニング・ダンサー_阿津川辰海,2024/12/09 17:18:38,2024/12/09,2024/12/09,404114177X,1,https://calil.jp/book/404114177X,https://images-na.ssl-images-amazon.com/images/P/404114177X.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内09,ぼくは化け物きみは怪物,白井智之,,白井智之__ぼくは化け物きみは怪物,2025_このミステリーがすごい!_国内09_ぼくは化け物きみは怪物_白井智之,2024/12/09 17:18:38,2024/12/09,2024/12/09,4334104037,4,https://calil.jp/book/4334104037,https://images-na.ssl-images-amazon.com/images/P/4334104037.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,国内10,六色の蛹,櫻田智也,,櫻田智也__六色の蛹,2025_このミステリーがすごい!_国内10_六色の蛹_櫻田智也,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488029035,3,https://calil.jp/book/4488029035,https://images-na.ssl-images-amazon.com/images/P/4488029035.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外02,ビリー・サマーズ,スティーヴン・キング,,スティーヴン・キング__ビリー・サマーズ,2025_このミステリーがすごい!_海外02_ビリー・サマーズ_スティーヴン・キング,2024/12/09 17:18:38,2024/12/09,2024/12/09,4163918310,3,https://calil.jp/book/4163918310,https://images-na.ssl-images-amazon.com/images/P/4163918310.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外03,死はすぐそばに,アンソニー・ホロヴィッツ,,アンソニー・ホロヴィッツ__死はすぐそばに,2025_このミステリーがすごい!_海外03_死はすぐそばに_アンソニー・ホロヴィッツ,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488265154,4,https://calil.jp/book/4488265154,https://images-na.ssl-images-amazon.com/images/P/4488265154.09.LZZZZZZZ,候補
