著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
宮下奈都__羊と鋼の森,宮下奈都,羊と鋼の森,4163902945,https://images-na.ssl-images-amazon.com/images/P/4163902945.09.LZZZZZZZ,2016_高校生直木賞_第3回（2016年） 候補_羊と鋼の森_宮下奈都,https://calil.jp/book/4163902945
門井慶喜__東京帝大叡古教授,門井慶喜,東京帝大叡古教授,409386408X,https://images-na.ssl-images-amazon.com/images/P/409386408X.09.LZZZZZZZ,2016_高校生直木賞_第3回（2016年） 候補_東京帝大叡古教授_門井慶喜,https://calil.jp/book/409386408X
西川美和__永い言い訳,西川美和,永い言い訳,4163902147,https://images-na.ssl-images-amazon.com/images/P/4163902147.09.LZZZZZZZ,2016_高校生直木賞_第3回（2016年） 候補_永い言い訳_西川美和,https://calil.jp/book/4163902147
青山文平__つまをめとらば,青山文平,つまをめとらば,4163902929,https://images-na.ssl-images-amazon.com/images/P/4163902929.09.LZZZZZZZ,2016_高校生直木賞_第3回（2016年） 候補_つまをめとらば_青山文平,https://calil.jp/book/4163902929
吉田桃子__ラブリィ！,吉田桃子,ラブリィ！,4062206021,https://images-na.ssl-images-amazon.com/images/P/4062206021.09.LZZZZZZZ,2016_講談社児童文学新人賞_第57回（2016年度）受賞_ラブリィ！_吉田桃子,https://calil.jp/book/4062206021
五十嵐まり__放置自転車、15歳（、ぬけがら）,五十嵐まり,放置自転車、15歳（、ぬけがら）,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_講談社児童文学新人賞_第57回（2016年度）佳作_放置自転車、15歳（、ぬけがら）_五十嵐まり,https://calil.jp/search?q=%E4%BA%94%E5%8D%81%E5%B5%90%E3%81%BE%E3%82%8A%20%E3%80%81%E3%81%AC%E3%81%91%E3%81%8C%E3%82%89
落合由佳__マイナス・ヒーロー,落合由佳,マイナス・ヒーロー,4062206331,https://images-na.ssl-images-amazon.com/images/P/4062206331.09.LZZZZZZZ,2016_講談社児童文学新人賞_第57回（2016年度）佳作_マイナス・ヒーロー_落合由佳,https://calil.jp/book/4062206331
妹尾尻尾__ディヴィジョン・マニューバ －英雄転生－,妹尾尻尾,ディヴィジョン・マニューバ －英雄転生－,4063815951,https://images-na.ssl-images-amazon.com/images/P/4063815951.09.LZZZZZZZ,2016_講談社ラノベ文庫新人賞_第6回（2016年）優秀賞_ディヴィジョン・マニューバ －英雄転生－_妹尾尻尾,https://calil.jp/book/4063815951
海老名龍人__自殺するには向かない季節,海老名龍人,自殺するには向かない季節,406381596X,https://images-na.ssl-images-amazon.com/images/P/406381596X.09.LZZZZZZZ,2016_講談社ラノベ文庫新人賞_第6回（2016年）大賞_自殺するには向かない季節_海老名龍人,https://calil.jp/book/406381596X
阿部藍樹__白翼のポラリス,阿部藍樹,白翼のポラリス,4063815781,https://images-na.ssl-images-amazon.com/images/P/4063815781.09.LZZZZZZZ,2016_講談社ラノベ文庫新人賞_第6回（2016年）佳作_白翼のポラリス_阿部藍樹,https://calil.jp/book/4063815781
瀬戸メグル__巨乳天使ミコピョン!,瀬戸メグル,巨乳天使ミコピョン!,4063816001,https://images-na.ssl-images-amazon.com/images/P/4063816001.09.LZZZZZZZ,2016_講談社ラノベ文庫新人賞_第6回（2016年）佳作_巨乳天使ミコピョン!_瀬戸（瀬戸メグル）,https://calil.jp/book/4063816001
愛坂タカト__ドラどら王子の嫁選び（ドラどら王子の花嫁選び）,愛坂タカト,ドラどら王子の嫁選び（ドラどら王子の花嫁選び）,4063815773,https://images-na.ssl-images-amazon.com/images/P/4063815773.09.LZZZZZZZ,2016_講談社ラノベ文庫新人賞_第6回（2016年）佳作_ドラどら王子の嫁選び（ドラどら王子の花嫁選び）_愛坂タカト,https://calil.jp/book/4063815773
佐藤究__QJKJQ,佐藤究,QJKJQ,4062202190,https://images-na.ssl-images-amazon.com/images/P/4062202190.09.LZZZZZZZ,2016_江戸川乱歩賞_第62回（2016年度）受賞_QJKJQ_佐藤究,https://calil.jp/book/4062202190
光月涼那__ラリックの天球儀,光月涼那,ラリックの天球儀,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_江戸川乱歩賞_第62回（2016年度）候補_ラリックの天球儀_光月涼那,https://calil.jp/search?q=%E5%85%89%E6%9C%88%E6%B6%BC%E9%82%A3%20%E3%83%A9%E3%83%AA%E3%83%83%E3%82%AF%E3%81%AE%E5%A4%A9%E7%90%83%E5%84%80
十河進__キャパの遺言,十河進,キャパの遺言,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_江戸川乱歩賞_第62回（2016年度）候補_キャパの遺言_十河進,https://calil.jp/search?q=%E5%8D%81%E6%B2%B3%E9%80%B2%20%E3%82%AD%E3%83%A3%E3%83%91%E3%81%AE%E9%81%BA%E8%A8%80
家原英生__（仮）ヴィラ・アーク 設計主旨VILLA ARC (tentative),家原英生,（仮）ヴィラ・アーク 設計主旨VILLA ARC (tentative),4863852509,https://images-na.ssl-images-amazon.com/images/P/4863852509.09.LZZZZZZZ,2016_江戸川乱歩賞_第62回（2016年度）候補_（仮）ヴィラ・アーク 設計主旨VILLA ARC (tentative)_家原英生,https://calil.jp/book/4863852509
薬丸岳__Aではない君と,薬丸岳,Aではない君と,4062195585,https://images-na.ssl-images-amazon.com/images/P/4062195585.09.LZZZZZZZ,2016_吉川英治文学新人賞_第37回（2016年）受賞_Aではない君と_薬丸岳,https://calil.jp/book/4062195585
中脇初枝__世界の果てのこどもたち,中脇初枝,世界の果てのこどもたち,4062195399,https://images-na.ssl-images-amazon.com/images/P/4062195399.09.LZZZZZZZ,2016_吉川英治文学新人賞_第37回（2016年）候補_世界の果てのこどもたち_中脇初枝,https://calil.jp/book/4062195399
須賀しのぶ__革命前夜,須賀しのぶ,革命前夜,4163902317,https://images-na.ssl-images-amazon.com/images/P/4163902317.09.LZZZZZZZ,2016_吉川英治文学新人賞_第37回（2016年）候補_革命前夜_須賀しのぶ,https://calil.jp/book/4163902317
