著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
ウィリアム・ブリテン__ジョン・ディクスン・カーを読んだ男,ウィリアム・ブリテン,ジョン・ディクスン・カーを読んだ男,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_本格ミステリ・ベスト10_海外05_ジョン・ディクスン・カーを読んだ男_ウィリアム・ブリテン,https://calil.jp/search?q=%E3%82%A6%E3%82%A3%E3%83%AA%E3%82%A2%E3%83%A0%E3%83%BB%E3%83%96%E3%83%AA%E3%83%86%E3%83%B3%20%E3%82%B8%E3%83%A7%E3%83%B3%E3%83%BB%E3%83%87%E3%82%A3%E3%82%AF%E3%82%B9%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%92%E8%AA%AD%E3%82%93%E3%81%A0%E7%94%B7
ジェームズ・アンダースン__切り裂かれたミンクコート事件,ジェームズ・アンダースン,切り裂かれたミンクコート事件,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_本格ミステリ・ベスト10_海外04_切り裂かれたミンクコート事件_ジェームズ・アンダースン,https://calil.jp/search?q=%E3%82%B8%E3%82%A7%E3%83%BC%E3%83%A0%E3%82%BA%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%80%E3%83%BC%E3%82%B9%E3%83%B3%20%E5%88%87%E3%82%8A%E8%A3%82%E3%81%8B%E3%82%8C%E3%81%9F%E3%83%9F%E3%83%B3%E3%82%AF%E3%82%B3%E3%83%BC%E3%83%88%E4%BA%8B%E4%BB%B6
セオドア・ロスコー__死の相続,セオドア・ロスコー,死の相続,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_本格ミステリ・ベスト10_海外03_死の相続_セオドア・ロスコー,https://calil.jp/search?q=%E3%82%BB%E3%82%AA%E3%83%89%E3%82%A2%E3%83%BB%E3%83%AD%E3%82%B9%E3%82%B3%E3%83%BC%20%E6%AD%BB%E3%81%AE%E7%9B%B8%E7%B6%9A
喜多ふあり__けちゃっぷ,喜多ふあり,けちゃっぷ,4309018858,https://images-na.ssl-images-amazon.com/images/P/4309018858.09.LZZZZZZZ,2008_文藝賞_第45回（2008年度）受賞_けちゃっぷ_喜多ふあり,https://calil.jp/book/4309018858
安戸悠太__おひるのたびにさようなら,安戸悠太,おひるのたびにさようなら,4309018866,https://images-na.ssl-images-amazon.com/images/P/4309018866.09.LZZZZZZZ,2008_文藝賞_第45回（2008年度）受賞_おひるのたびにさようなら_安戸悠太,https://calil.jp/book/4309018866
松波太郎__廃車,松波太郎,廃車,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_文學界新人賞_第107回（2008年度・下）受賞_廃車_松波太郎,https://calil.jp/search?q=%E6%9D%BE%E6%B3%A2%E5%A4%AA%E9%83%8E%20%E5%BB%83%E8%BB%8A
上村渉__射手座,上村渉,射手座,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_文學界新人賞_第107回（2008年度・下）受賞_射手座_上村渉,https://calil.jp/search?q=%E4%B8%8A%E6%9D%91%E6%B8%89%20%E5%B0%84%E6%89%8B%E5%BA%A7
北野道夫__逃げ道,北野道夫,逃げ道,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_文學界新人賞_第106回（2008年度・上）受賞_逃げ道_北野道夫,https://calil.jp/search?q=%E5%8C%97%E9%87%8E%E9%81%93%E5%A4%AB%20%E9%80%83%E3%81%92%E9%81%93
最相葉月__星新一一〇〇一話をつくった人,最相葉月,星新一一〇〇一話をつくった人,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本推理作家協会賞_061（2008年）評論その他_星新一 一〇〇一話をつくった人_最相葉月,https://calil.jp/search?q=%E6%9C%80%E7%9B%B8%E8%91%89%E6%9C%88%20%E6%98%9F%E6%96%B0%E4%B8%80%E4%B8%80%E3%80%87%E3%80%87%E4%B8%80%E8%A9%B1%E3%82%92%E3%81%A4%E3%81%8F%E3%81%A3%E3%81%9F%E4%BA%BA
紀田順一郎__幻想と怪奇の時代,紀田順一郎,幻想と怪奇の時代,4879842508,https://images-na.ssl-images-amazon.com/images/P/4879842508.09.LZZZZZZZ,2008_日本推理作家協会賞_061（2008年）評論その他_幻想と怪奇の時代_紀田順一郎,https://calil.jp/book/4879842508
長岡弘樹__傍聞き,長岡弘樹,傍聞き,4575236365,https://images-na.ssl-images-amazon.com/images/P/4575236365.09.LZZZZZZZ,2008_日本推理作家協会賞_061（2008年）短編賞_傍聞き_長岡弘樹,https://calil.jp/book/4575236365
結城充考__プラ・バロック,結城充考,プラ・バロック,433492655X,https://images-na.ssl-images-amazon.com/images/P/433492655X.09.LZZZZZZZ,2008_日本ミステリー文学大賞新人賞_第12回（2008年度）受賞_プラ・バロック_結城充考,https://calil.jp/book/433492655X
石川角白__濡れた翼の銀のいろ,石川角白,濡れた翼の銀のいろ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本ミステリー文学大賞新人賞_第12回（2008年度）候補_濡れた翼の銀のいろ_石川角白,https://calil.jp/search?q=%E7%9F%B3%E5%B7%9D%E8%A7%92%E7%99%BD%20%E6%BF%A1%E3%82%8C%E3%81%9F%E7%BF%BC%E3%81%AE%E9%8A%80%E3%81%AE%E3%81%84%E3%82%8D
戸南浩平__輝きすぎる夏,戸南浩平,輝きすぎる夏,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本ミステリー文学大賞新人賞_第12回（2008年度）候補_輝きすぎる夏_戸南浩平,https://calil.jp/search?q=%E6%88%B8%E5%8D%97%E6%B5%A9%E5%B9%B3%20%E8%BC%9D%E3%81%8D%E3%81%99%E3%81%8E%E3%82%8B%E5%A4%8F
菊谷智恵子__コヨーテ・パズル,菊谷智恵子,コヨーテ・パズル,4906750184,https://images-na.ssl-images-amazon.com/images/P/4906750184.09.LZZZZZZZ,2008_日本ミステリー文学大賞新人賞_第12回（2008年度）候補_コヨーテ・パズル_菊谷智恵子,https://calil.jp/book/4906750184
里見蘭__彼女の知らない彼女,里見蘭,彼女の知らない彼女,4103130113,https://images-na.ssl-images-amazon.com/images/P/4103130113.09.LZZZZZZZ,2008_日本ファンタジーノベル大賞_第20回（2008年）優秀賞_彼女の知らない彼女_里見蘭,https://calil.jp/book/4103130113
中村弦__天界の都 ある建築家をめぐる物語,中村弦,天界の都 ある建築家をめぐる物語,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本ファンタジーノベル大賞_第20回（2008年）大賞_天界の都 ある建築家をめぐる物語_中村弦,https://calil.jp/search?q=%E4%B8%AD%E6%9D%91%E5%BC%A6%20%E5%A4%A9%E7%95%8C%E3%81%AE%E9%83%BD%20%E3%81%82%E3%82%8B%E5%BB%BA%E7%AF%89%E5%AE%B6%E3%82%92%E3%82%81%E3%81%90%E3%82%8B%E7%89%A9%E8%AA%9E
真山遥__龍守の末裔,真山遥,龍守の末裔,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本ファンタジーノベル大賞_第20回（2008年）候補_龍守の末裔_真山遥,https://calil.jp/search?q=%E7%9C%9F%E5%B1%B1%E9%81%A5%20%E9%BE%8D%E5%AE%88%E3%81%AE%E6%9C%AB%E8%A3%94
松崎祐__イデアル,松崎祐,イデアル,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本ファンタジーノベル大賞_第20回（2008年）候補_イデアル_松崎祐,https://calil.jp/search?q=%E6%9D%BE%E5%B4%8E%E7%A5%90%20%E3%82%A4%E3%83%87%E3%82%A2%E3%83%AB
磯光雄__電脳コイル／テレビアニメシリーズ,磯光雄,電脳コイル／テレビアニメシリーズ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本SF大賞_第29回(2008)日本ＳＦ大賞_電脳コイル（テレビアニメシリーズ)_磯光雄,https://calil.jp/search?q=%E7%A3%AF%E5%85%89%E9%9B%84%20%E9%9B%BB%E8%84%B3%E3%82%B3%E3%82%A4%E3%83%AB%EF%BC%8F%E3%83%86%E3%83%AC%E3%83%93%E3%82%A2%E3%83%8B%E3%83%A1%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA
競馬の終わり__杉山俊彦,競馬の終わり,杉山俊彦,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本SF新人賞_第10回新人賞_杉山俊彦_競馬の終わり,https://calil.jp/search?q=%E7%AB%B6%E9%A6%AC%E3%81%AE%E7%B5%82%E3%82%8F%E3%82%8A%20%E6%9D%89%E5%B1%B1%E4%BF%8A%E5%BD%A6
プシスファイラ__天野邊,プシスファイラ,天野邊,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_日本SF新人賞_第10回_プシスファイラ,https://calil.jp/search?q=%E3%83%97%E3%82%B7%E3%82%B9%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A9%20%E5%A4%A9%E9%87%8E%E9%82%8A
萩耿介__松林図屏風,萩耿介,松林図屏風,4532170893,https://images-na.ssl-images-amazon.com/images/P/4532170893.09.LZZZZZZZ,2008_日経小説大賞_第2回（2008年）受賞_松林図屏風_萩耿介,https://calil.jp/book/4532170893
丸山英人__隙間女（幅広）,丸山英人,隙間女（幅広）,4048686585,https://images-na.ssl-images-amazon.com/images/P/4048686585.09.LZZZZZZZ,2008_電撃小説大賞_第15回（2008年）電撃文庫MAGAZINE賞_隙間女（幅広）_丸山英人,https://calil.jp/book/4048686585
鷹羽知__眼球奇譚,鷹羽知,眼球奇譚,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_電撃小説大賞_第15回（2008年）電撃文庫MAGAZINE賞_眼球奇譚_鷹羽知,https://calil.jp/search?q=%E9%B7%B9%E7%BE%BD%E7%9F%A5%20%E7%9C%BC%E7%90%83%E5%A5%87%E8%AD%9A
川原礫__アクセル・ワールド,川原礫,アクセル・ワールド,4049134403,https://images-na.ssl-images-amazon.com/images/P/4049134403.09.LZZZZZZZ,2008_電撃小説大賞_第15回（2008年）大賞_アクセル・ワールド_川原礫,https://calil.jp/book/4049134403
山口幸三郎__語り部じんえい（神のまにまに!）,山口幸三郎,語り部じんえい（神のまにまに!）,4048677667,https://images-na.ssl-images-amazon.com/images/P/4048677667.09.LZZZZZZZ,2008_電撃小説大賞_第15回（2008年）選考委員奨励賞_語り部じんえい（神のまにまに!）_山口幸三郎,https://calil.jp/book/4048677667
真藤順丈__東京ヴァンパイア・ファイナンス,真藤順丈,東京ヴァンパイア・ファイナンス,4048675192,https://images-na.ssl-images-amazon.com/images/P/4048675192.09.LZZZZZZZ,2008_電撃小説大賞_第15回（2008年）銀賞_東京ヴァンパイア・ファイナンス_真藤順丈,https://calil.jp/book/4048675192
蒼山サグ__ロウきゅーぶ!,蒼山サグ,ロウきゅーぶ!,4048675206,https://images-na.ssl-images-amazon.com/images/P/4048675206.09.LZZZZZZZ,2008_電撃小説大賞_第15回（2008年）銀賞_ロウきゅーぶ!_蒼山サグ,https://calil.jp/book/4048675206
四月十日（静月遠火）__パララバ-Parallellovers-,静月遠火,パララバ-Parallellovers-,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_電撃小説大賞_第15回（2008年）金賞_パララバ -Parallel lovers-_四月十日（静月遠火）,https://calil.jp/search?q=%E9%9D%99%E6%9C%88%E9%81%A0%E7%81%AB%20%E3%83%91%E3%83%A9%E3%83%A9%E3%83%90-Parallellovers-
山本兼一__利休にたずねよ,山本兼一,利休にたずねよ,4569702767,https://images-na.ssl-images-amazon.com/images/P/4569702767.09.LZZZZZZZ,2008_直木賞_140回（2008年下半期）_利休にたずねよ_山本兼一,https://calil.jp/book/4569702767
天童荒太__悼む人,天童荒太,悼む人,4163276408,https://images-na.ssl-images-amazon.com/images/P/4163276408.09.LZZZZZZZ,2008_直木賞_140回（2008年下半期）_悼む人_天童荒太,https://calil.jp/book/4163276408
井上荒野__切羽（きりは）へ,井上荒野,切羽（きりは）へ,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_直木賞_139回（2008年上半期）_切羽（きりは）へ_井上荒野,https://calil.jp/search?q=%E4%BA%95%E4%B8%8A%E8%8D%92%E9%87%8E%20%E3%81%8D%E3%82%8A%E3%81%AF
ねじめ正一__荒地の恋,ねじめ正一,荒地の恋,4163263500,https://images-na.ssl-images-amazon.com/images/P/4163263500.09.LZZZZZZZ,2008_中央公論文芸賞_第3回（2008年）受賞_荒地の恋_ねじめ正一,https://calil.jp/book/4163263500
桐野夏生__東京島,桐野夏生,東京島,4104667021,https://images-na.ssl-images-amazon.com/images/P/4104667021.09.LZZZZZZZ,2008_谷崎潤一郎賞_第44回(2008年)_東京島_桐野夏生,https://calil.jp/book/4104667021
福澤徹三__すじぼり,福澤徹三,すじぼり,4048737406,https://images-na.ssl-images-amazon.com/images/P/4048737406.09.LZZZZZZZ,2008_大藪春彦賞_第10回（2008年）受賞_すじぼり_福澤徹三,https://calil.jp/book/4048737406
永瀬隼介__誓いの夏から,永瀬隼介,誓いの夏から,4334925340,https://images-na.ssl-images-amazon.com/images/P/4334925340.09.LZZZZZZZ,2008_大藪春彦賞_第10回（2008年）候補_誓いの夏から_永瀬隼介,https://calil.jp/book/4334925340
香納諒一__孤独なき地K・S・P,香納諒一,孤独なき地K・S・P,4198623015,https://images-na.ssl-images-amazon.com/images/P/4198623015.09.LZZZZZZZ,2008_大藪春彦賞_第10回（2008年）候補_孤独なき地 K・S・P_香納諒一,https://calil.jp/book/4198623015
麻生幾__エスピオナージ,麻生幾,エスピオナージ,4344013662,https://images-na.ssl-images-amazon.com/images/P/4344013662.09.LZZZZZZZ,2008_大藪春彦賞_第10回（2008年）候補_エスピオナージ_麻生幾,https://calil.jp/book/4344013662
永瀬直矢__ロミオとインディアナ,永瀬直矢,ロミオとインディアナ,4480804196,https://images-na.ssl-images-amazon.com/images/P/4480804196.09.LZZZZZZZ,2008_太宰治賞_第24回（2008年）受賞_ロミオとインディアナ_永瀬直矢,https://calil.jp/book/4480804196
南木佳士__草すべり、その他の短篇,南木佳士,草すべり、その他の短篇,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_泉鏡花文学賞_第36回（2008年度）受賞_草すべり、その他の短篇_南木佳士,https://calil.jp/search?q=%E5%8D%97%E6%9C%A8%E4%BD%B3%E5%A3%AB%20%E8%8D%89%E3%81%99%E3%81%B9%E3%82%8A%E3%80%81%E3%81%9D%E3%81%AE%E4%BB%96%E3%81%AE%E7%9F%AD%E7%AF%87
横尾忠則__ぶるうらんど,横尾忠則,ぶるうらんど,4163270906,https://images-na.ssl-images-amazon.com/images/P/4163270906.09.LZZZZZZZ,2008_泉鏡花文学賞_第36回（2008年度）受賞_ぶるうらんど_横尾忠則,https://calil.jp/book/4163270906
田中慎弥__蛹,田中慎弥,蛹,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_川端康成文学賞_第34回（2008年）_蛹_田中慎弥,https://calil.jp/search?q=%E7%94%B0%E4%B8%AD%E6%85%8E%E5%BC%A5%20%E8%9B%B9
稲葉真弓__海松(ミル),稲葉真弓,海松(ミル),,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_川端康成文学賞_第34回（2008年）_海松（ミル）_稲葉真弓,https://calil.jp/search?q=%E7%A8%B2%E8%91%89%E7%9C%9F%E5%BC%93%20%E6%B5%B7%E6%9D%BE%28%E3%83%9F%E3%83%AB%29
有川浩__図書館戦争シリーズ,有川浩,図書館戦争シリーズ,4840233616,https://images-na.ssl-images-amazon.com/images/P/4840233616.09.LZZZZZZZ,2008_星雲賞（長編）_第39回2008年_図書館戦争シリーズ_有川浩,https://calil.jp/book/4840233616
野尻抱介__沈黙のフライバイ,野尻抱介,沈黙のフライバイ,4150308799,https://images-na.ssl-images-amazon.com/images/P/4150308799.09.LZZZZZZZ,2008_星雲賞（短編）_第39回2008年_沈黙のフライバイ_野尻抱介,https://calil.jp/book/4150308799
見延典子__頼山陽,見延典子,頼山陽,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_新田次郎文学賞_第27回（2008年度）受賞_頼山陽【上下】_見延典子,https://calil.jp/search?q=%E8%A6%8B%E5%BB%B6%E5%85%B8%E5%AD%90%20%E9%A0%BC%E5%B1%B1%E9%99%BD
飯塚朝美__クロスフェーダーの曖昧な光,飯塚朝美,クロスフェーダーの曖昧な光,4103229217,https://images-na.ssl-images-amazon.com/images/P/4103229217.09.LZZZZZZZ,2008_新潮新人賞_第40回（2008年）_クロスフェーダーの曖昧な光_飯塚朝美,https://calil.jp/book/4103229217
松村美香__利権聖域 ロロ・ジョングランの歌声,松村美香,利権聖域 ロロ・ジョングランの歌声,4041002338,https://images-na.ssl-images-amazon.com/images/P/4041002338.09.LZZZZZZZ,2008_城山三郎経済小説大賞_第1回(2008) 大賞_利権聖域 ロロ・ジョングランの歌声_松村美香,https://calil.jp/book/4041002338
梶よう子__一朝の夢,梶よう子,一朝の夢,416327250X,https://images-na.ssl-images-amazon.com/images/P/416327250X.09.LZZZZZZZ,2008_松本清張賞_第15回（2008年度）受賞_一朝の夢_梶よう子,https://calil.jp/book/416327250X
桜坂豪__光は闇を好むとて,桜坂豪,光は闇を好むとて,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_松本清張賞_第15回（2008年度）候補_光は闇を好むとて_桜坂豪,https://calil.jp/search?q=%E6%A1%9C%E5%9D%82%E8%B1%AA%20%E5%85%89%E3%81%AF%E9%97%87%E3%82%92%E5%A5%BD%E3%82%80%E3%81%A8%E3%81%A6
松田美智子__海馬の恋,松田美智子,海馬の恋,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_松本清張賞_第15回（2008年度）候補_海馬の恋_松田美智子,https://calil.jp/search?q=%E6%9D%BE%E7%94%B0%E7%BE%8E%E6%99%BA%E5%AD%90%20%E6%B5%B7%E9%A6%AC%E3%81%AE%E6%81%8B
奥山景布子__びいどろの火,奥山景布子,びいどろの火,4163298606,https://images-na.ssl-images-amazon.com/images/P/4163298606.09.LZZZZZZZ,2008_松本清張賞_第15回（2008年度）候補_びいどろの火_奥山景布子,https://calil.jp/book/4163298606
未来谷アユ__ぼくらのミリタリー・パレード,未来谷アユ,ぼくらのミリタリー・パレード,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小説野性時代新人賞_第4回（2008年）青春文学大賞 候補_ぼくらのミリタリー・パレード_未来谷アユ,https://calil.jp/search?q=%E6%9C%AA%E6%9D%A5%E8%B0%B7%E3%82%A2%E3%83%A6%20%E3%81%BC%E3%81%8F%E3%82%89%E3%81%AE%E3%83%9F%E3%83%AA%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%91%E3%83%AC%E3%83%BC%E3%83%89
宮藤蔵六__ピューマンロード,宮藤蔵六,ピューマンロード,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小説野性時代新人賞_第4回（2008年）青春文学大賞 候補_ピューマンロード_宮藤蔵六,https://calil.jp/search?q=%E5%AE%AE%E8%97%A4%E8%94%B5%E5%85%AD%20%E3%83%94%E3%83%A5%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89
松尾佑一__かっぱ塾へ行こう！,松尾佑一,かっぱ塾へ行こう！,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小説野性時代新人賞_第4回（2008年）青春文学大賞 候補_かっぱ塾へ行こう！_松尾佑一,https://calil.jp/search?q=%E6%9D%BE%E5%B0%BE%E4%BD%91%E4%B8%80%20%E3%81%8B%E3%81%A3%E3%81%B1%E5%A1%BE%E3%81%B8%E8%A1%8C%E3%81%93%E3%81%86%EF%BC%81
中島要__素見,中島要,素見,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小説宝石新人賞_第2回（2008年）受賞_素見_中島要,https://calil.jp/search?q=%E4%B8%AD%E5%B3%B6%E8%A6%81%20%E7%B4%A0%E8%A6%8B
浮穴みみ__寿限無,浮穴みみ,寿限無,4575236780,https://images-na.ssl-images-amazon.com/images/P/4575236780.09.LZZZZZZZ,2008_小説推理新人賞_第30回（2008年）_寿限無_浮穴みみ,https://calil.jp/book/4575236780
朝井まかて__実さえ花さえ、この葉さえ,朝井まかて,実さえ花さえ、この葉さえ,4062770962,https://images-na.ssl-images-amazon.com/images/P/4062770962.09.LZZZZZZZ,2008_小説現代長編新人賞_第3回（2008年）奨励賞_実さえ花さえ、この葉さえ_朝井まかて,https://calil.jp/book/4062770962
斎樹真琴__地獄番 鬼蜘蛛日誌,斎樹真琴,地獄番 鬼蜘蛛日誌,4062150719,https://images-na.ssl-images-amazon.com/images/P/4062150719.09.LZZZZZZZ,2008_小説現代長編新人賞_第3回（2008年）受賞_地獄番 鬼蜘蛛日誌_斎樹真琴,https://calil.jp/book/4062150719
矢野隆__蛇衆,矢野隆,蛇衆,408771277X,https://images-na.ssl-images-amazon.com/images/P/408771277X.09.LZZZZZZZ,2008_小説すばる新人賞_第21回（2008年）_蛇衆_矢野隆,https://calil.jp/book/408771277X
藤井建司__ある意味、ホームレスみたいなものですが、なにか？,藤井建司,ある意味、ホームレスみたいなものですが、なにか？,4093862281,https://images-na.ssl-images-amazon.com/images/P/4093862281.09.LZZZZZZZ,2008_小学館文庫小説賞_第9回（2008年）優秀賞_ある意味、ホームレスみたいなものですが、なにか？_藤井建司,https://calil.jp/book/4093862281
斉木香津__千の花も、万の死も,斉木香津,千の花も、万の死も,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小学館文庫小説賞_第9回（2008年）受賞_千の花も、万の死も_斉木香津,https://calil.jp/search?q=%E6%96%89%E6%9C%A8%E9%A6%99%E6%B4%A5%20%E5%8D%83%E3%81%AE%E8%8A%B1%E3%82%82%E3%80%81%E4%B8%87%E3%81%AE%E6%AD%BB%E3%82%82
泉スージー__秘密の花園,泉スージー,秘密の花園,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小学館文庫小説賞_第9回（2008年）佳作_秘密の花園_泉スージー,https://calil.jp/search?q=%E6%B3%89%E3%82%B9%E3%83%BC%E3%82%B8%E3%83%BC%20%E7%A7%98%E5%AF%86%E3%81%AE%E8%8A%B1%E5%9C%92
神無月りく（花村りく）__夜半の太陽（月と太陽の国語り 〜夜半に咲く花〜）,花村りく,夜半の太陽（月と太陽の国語り 〜夜半に咲く花〜）,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小学館ライトノベル大賞（ルルル文庫部門）_第3回（2008年）優秀賞_夜半の太陽（月と太陽の国語り 〜夜半（よわ）に咲く花〜）_神無月りく（花村りく）,https://calil.jp/search?q=%E8%8A%B1%E6%9D%91%E3%82%8A%E3%81%8F%20%E6%9C%88%E3%81%A8%E5%A4%AA%E9%99%BD%E3%81%AE%E5%9B%BD%E8%AA%9E%E3%82%8A%20%E3%80%9C%E5%A4%9C%E5%8D%8A%E3%81%AB%E5%92%B2%E3%81%8F%E8%8A%B1%E3%80%9C
菅原りであ__悪役令嬢ヴィクトリア 〜花洗う雨の紅茶屋〜（悪役令嬢ヴィクトリア）,菅原りであ,悪役令嬢ヴィクトリア 〜花洗う雨の紅茶屋〜（悪役令嬢ヴィクトリア）,4094521291,https://images-na.ssl-images-amazon.com/images/P/4094521291.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ルルル文庫部門）_第3回（2008年）優秀賞_悪役令嬢ヴィクトリア 〜花洗う雨の紅茶屋〜（悪役令嬢ヴィクトリア）_菅原りであ,https://calil.jp/book/4094521291
矢貫こよみ__悪い魔法使いはいりませんか?,矢貫こよみ,悪い魔法使いはいりませんか?,4094521666,https://images-na.ssl-images-amazon.com/images/P/4094521666.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ルルル文庫部門）_第3回（2008年）奨励賞_悪い魔法使いはいりませんか?_矢貫こよみ,https://calil.jp/book/4094521666
中村涼子__七番目の世界,中村涼子,七番目の世界,409452133X,https://images-na.ssl-images-amazon.com/images/P/409452133X.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ルルル文庫部門）_第3回（2008年）ルルル賞_七番目の世界_中村涼子,https://calil.jp/book/409452133X
竹本源五郎（原田源五郎）__今日もオカリナを吹く予定はない,原田源五郎,今日もオカリナを吹く予定はない,4094511474,https://images-na.ssl-images-amazon.com/images/P/4094511474.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ガガガ文庫部門）_第3回（2008年）優秀賞_今日もオカリナを吹く予定はない_竹本源五郎（原田源五郎）,https://calil.jp/book/4094511474
鮎川歩__クイックセーブ&ロード,鮎川歩,クイックセーブ&ロード,4094511555,https://images-na.ssl-images-amazon.com/images/P/4094511555.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ガガガ文庫部門）_第3回（2008年）優秀賞_クイックセーブ&ロード_鮎川歩,https://calil.jp/book/4094511555
相内佑（川岸殴魚）__邪神大沼（やむなく覚醒!! 邪神大沼）,川岸殴魚,邪神大沼（やむなく覚醒!! 邪神大沼）,409451144X,https://images-na.ssl-images-amazon.com/images/P/409451144X.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ガガガ文庫部門）_第3回（2008年）審査員特別賞_邪神大沼（やむなく覚醒!! 邪神大沼）_相内佑（川岸殴魚）,https://calil.jp/book/409451144X
渡航__あやかしがたり,渡航,あやかしがたり,4094511334,https://images-na.ssl-images-amazon.com/images/P/4094511334.09.LZZZZZZZ,2008_小学館ライトノベル大賞（ガガガ文庫部門）_第3回（2008年）ガガガ大賞_あやかしがたり_渡航,https://calil.jp/book/4094511334
小木君人__その日彼は死なずにすむか？,小木君人,その日彼は死なずにすむか？,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_小学館ライトノベル大賞（ガガガ文庫部門）_第3回（2008年）ガガガ賞_その日彼は死なずにすむか？_小木君人,https://calil.jp/search?q=%E5%B0%8F%E6%9C%A8%E5%90%9B%E4%BA%BA%20%E3%81%9D%E3%81%AE%E6%97%A5%E5%BD%BC%E3%81%AF%E6%AD%BB%E3%81%AA%E3%81%9A%E3%81%AB%E3%81%99%E3%82%80%E3%81%8B%EF%BC%9F
山内マリコ__16歳はセックスの齢,山内マリコ,16歳はセックスの齢,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_女による女のためのR-18文学賞_第7回（2008年度）読者賞_16歳はセックスの齢_山内マリコ,https://calil.jp/search?q=%E5%B1%B1%E5%86%85%E3%83%9E%E3%83%AA%E3%82%B3%2016%E6%AD%B3%E3%81%AF%E3%82%BB%E3%83%83%E3%82%AF%E3%82%B9%E3%81%AE%E9%BD%A2
蛭田亜紗子__自縄自縛の二乗,蛭田亜紗子,自縄自縛の二乗,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2008_女による女のためのR-18文学賞_第7回（2008年度）大賞_自縄自縛の二乗_蛭田亜紗子,https://calil.jp/search?q=%E8%9B%AD%E7%94%B0%E4%BA%9C%E7%B4%97%E5%AD%90%20%E8%87%AA%E7%B8%84%E8%87%AA%E7%B8%9B%E3%81%AE%E4%BA%8C%E4%B9%97
