著者__受賞・最終候補作,受賞作,著者名,ISBN10,ImageURL,賞名,Calil
本谷有希子__異類婚姻譚,異類婚姻譚,本谷有希子,4062199009,https://images-na.ssl-images-amazon.com/images/P/4062199009.09.LZZZZZZZ,2015_芥川賞_154回（2015年下半期）_異類婚姻譚_本谷有希子,https://calil.jp/book/4062199009
又吉直樹__火花,火花,又吉直樹,4163902309,https://images-na.ssl-images-amazon.com/images/P/4163902309.09.LZZZZZZZ,2015_芥川賞_153回（2015年上半期）_火花_又吉直樹,https://calil.jp/book/4163902309
羽田圭介__スクラップ・アンド・ビルド,スクラップ・アンド・ビルド,羽田圭介,4167910667,https://images-na.ssl-images-amazon.com/images/P/4167910667.09.LZZZZZZZ,2015_芥川賞_153回（2015年上半期）_スクラップ・アンド・ビルド_羽田圭介,https://calil.jp/book/4167910667
西加奈子__サラバ！,サラバ！,西加奈子,409386392X,https://images-na.ssl-images-amazon.com/images/P/409386392X.09.LZZZZZZZ,2014_直木賞_152回（2014年下半期）_サラバ！_西加奈子,https://calil.jp/book/409386392X
小野正嗣__九年前の祈り,九年前の祈り,小野正嗣,4062192926,https://images-na.ssl-images-amazon.com/images/P/4062192926.09.LZZZZZZZ,2014_芥川賞_152回（2014年下半期）_九年前の祈り_小野正嗣,https://calil.jp/book/4062192926
柴崎友香__春の庭,春の庭,柴崎友香,4163901019,https://images-na.ssl-images-amazon.com/images/P/4163901019.09.LZZZZZZZ,2014_芥川賞_151回（2014年上半期）_春の庭_柴崎友香,https://calil.jp/book/4163901019
百田尚樹__海賊とよばれた男,海賊とよばれた男,百田尚樹,4062175649,https://images-na.ssl-images-amazon.com/images/P/4062175649.09.LZZZZZZZ,2013_本屋大賞_2013年_海賊とよばれた男_百田尚樹,https://calil.jp/book/4062175649
姫野カオルコ__昭和の犬,昭和の犬,姫野カオルコ,434402446X,https://images-na.ssl-images-amazon.com/images/P/434402446X.09.LZZZZZZZ,2013_直木賞_150回（2013年下半期）_昭和の犬_姫野カオルコ,https://calil.jp/book/434402446X
桜木紫乃__ホテルローヤル,ホテルローヤル,桜木紫乃,4087714926,https://images-na.ssl-images-amazon.com/images/P/4087714926.09.LZZZZZZZ,2013_直木賞_149回（2013年上半期）_ホテルローヤル_桜木紫乃,https://calil.jp/book/4087714926
竹吉優輔__襲名犯,襲名犯,竹吉優輔,4062185091,https://images-na.ssl-images-amazon.com/images/P/4062185091.09.LZZZZZZZ,2013_江戸川乱歩賞_第59回（2013年度）受賞_襲名犯_竹吉優輔,https://calil.jp/book/4062185091
小山田浩子__穴,穴,小山田浩子,4103336420,https://images-na.ssl-images-amazon.com/images/P/4103336420.09.LZZZZZZZ,2013_芥川賞_150回（2013年下半期）_穴_小山田浩子,https://calil.jp/book/4103336420
藤野可織__爪と目,爪と目,藤野可織,410334511X,https://images-na.ssl-images-amazon.com/images/P/410334511X.09.LZZZZZZZ,2013_芥川賞_149回（2013年上半期）_爪と目_藤野可織,https://calil.jp/book/410334511X
三浦しをん__舟を編む,舟を編む,三浦しをん,4334927769,https://images-na.ssl-images-amazon.com/images/P/4334927769.09.LZZZZZZZ,2012_本屋大賞_2012年_舟を編む_三浦しをん,https://calil.jp/book/4334927769
安部龍太郎__等伯,等伯,安部龍太郎,416790442X,https://images-na.ssl-images-amazon.com/images/P/416790442X.09.LZZZZZZZ,2012_直木賞_148回（2012年下半期）_等伯_安部龍太郎,https://calil.jp/book/416790442X
朝井リョウ__何者,何者,朝井リョウ,4103330619,https://images-na.ssl-images-amazon.com/images/P/4103330619.09.LZZZZZZZ,2012_直木賞_148回（2012年下半期）_何者_朝井リョウ,https://calil.jp/book/4103330619
辻村深月__鍵のない夢を見る,鍵のない夢を見る,辻村深月,4163813500,https://images-na.ssl-images-amazon.com/images/P/4163813500.09.LZZZZZZZ,2012_直木賞_147回（2012年上半期）_鍵のない夢を見る_辻村深月,https://calil.jp/book/4163813500
高野史緒__カラマーゾフの兄妹,カラマーゾフの兄妹,高野史緒,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2012_江戸川乱歩賞_第58回（2012年度）受賞_カラマーゾフの兄妹_高野史緒,https://calil.jp/search?q=%E9%AB%98%E9%87%8E%E5%8F%B2%E7%B7%92%20%E3%82%AB%E3%83%A9%E3%83%9E%E3%83%BC%E3%82%BE%E3%83%95%E3%81%AE%E5%85%84%E5%A6%B9
黒田夏子__ａｂさんご,ａｂさんご,黒田夏子,4163820000,https://images-na.ssl-images-amazon.com/images/P/4163820000.09.LZZZZZZZ,2012_芥川賞_148回（2012年下半期）_ａｂさんご_黒田夏子,https://calil.jp/book/4163820000
鹿島田真希__冥土めぐり,冥土めぐり,鹿島田真希,4309021220,https://images-na.ssl-images-amazon.com/images/P/4309021220.09.LZZZZZZZ,2012_芥川賞_147回（2012年上半期）_冥土めぐり_鹿島田真希,https://calil.jp/book/4309021220
東川篤哉__謎解きはディナーのあとで,謎解きはディナーのあとで,東川篤哉,409386280X,https://images-na.ssl-images-amazon.com/images/P/409386280X.09.LZZZZZZZ,2011_本屋大賞_2011年_謎解きはディナーのあとで_東川篤哉,https://calil.jp/book/409386280X
葉室麟__蜩ノ記(ひぐらしのき),蜩ノ記(ひぐらしのき),葉室麟,4396338902,https://images-na.ssl-images-amazon.com/images/P/4396338902.09.LZZZZZZZ,2011_直木賞_146回（2011年下半期）_蜩ノ記(ひぐらしのき)_葉室麟,https://calil.jp/book/4396338902
窪美澄__ふがいない僕は空を見た,ふがいない僕は空を見た,窪美澄,4103259213,https://images-na.ssl-images-amazon.com/images/P/4103259213.09.LZZZZZZZ,2011_山本周五郎賞_第24回（2011年）受賞_ふがいない僕は空を見た_窪美澄,https://calil.jp/book/4103259213
玖村まゆみ__完盗オンサイト,完盗オンサイト,玖村まゆみ,4062171325,https://images-na.ssl-images-amazon.com/images/P/4062171325.09.LZZZZZZZ,2011_江戸川乱歩賞_第57回（2011年度）受賞_完盗オンサイト_玖村まゆみ,https://calil.jp/book/4062171325
川瀬七緒__よろずのことに気をつけよ,よろずのことに気をつけよ,川瀬七緒,4062776243,https://images-na.ssl-images-amazon.com/images/P/4062776243.09.LZZZZZZZ,2011_江戸川乱歩賞_第57回（2011年度）受賞_よろずのことに気をつけよ_川瀬七緒,https://calil.jp/book/4062776243
